id,name,city,capacity,available,price_per_night,rating,amenities,view_type,bed_type,description
134,Tourist Sunny Apartment,Anchorage,4,no,185,4.2,Free Wi-Fi|Equipped Kitchen|Underfloor Heating|Smart TV|Blackout Curtains|Electric Vehicle Charging|Heated Bathroom Floors|Keyless Smart Entry,City Skyline,1 King Bed + 1 Sofa Bed,"Welcome to the Tourist Sunny Apartment — your ultimate Alaskan sanctuary. Nestled in the vibrant heart of Anchorage, this apartment is designed for those who want the warmth of home without sacrificing the polish of a boutique hotel. Whether you're returning from a day of glacier hiking along Matanuska or catching the aurora from a nearby ridge, stepping through the front door feels like a long exhale. Underfloor heating radiates gently across every room, the kitchen is stocked with every tool a passionate home cook could want, and the oversized Smart TV is loaded with everything you'd need for a long, lazy evening in. The panoramic windows don't just let in light — they frame the Anchorage skyline like a living painting that shifts from steel-blue mornings to flame-orange evenings. Keyless smart entry means no fumbling with keycards at the end of an exhausting hike. This is a place built for real rest."
188,Snow Palace,New Delhi,5,no,450,4.9,Spa|Indoor Pool|Fine Dining|Valet Parking|Private Lounge|Champagne Welcome|Pillow Menu|24hr Concierge|Daily Housekeeping|In-Room Dining|Turndown Service|Personal Stylist on Request,Panoramic City View,2 King Beds + 1 Single Bed,"Step inside, and the ordinary world simply ceases to exist. The Snow Palace is not a hotel in any conventional sense — it is a statement, a philosophy, a place built on the radical belief that hospitality can be elevated to an art form. Every surface has been chosen with obsessive care: hand-woven silk draperies from Varanasi, furniture crafted by master artisans in Rajasthan, marble sourced from quarries that have dressed the most celebrated buildings in the world. The indoor pool shimmers beneath skylights that open to reveal the Delhi stars on clear nights. Our spa team doesn't offer treatments — they offer transformations, drawing on ancient Ayurvedic traditions blended with contemporary wellness science. In the evening, the dining hall becomes a theatre, where Michelin-starred chefs perform their craft in an open kitchen that smells of saffron, cardamom, and ambition. When you finally retire to your suite, a pillow menu awaits — because even how you sleep should be a personal choice."
655,City Break Inn,Porto-Novo,3,no,110,4.5,Breakfast Included|24/7 Fitness|Airport Transfer|Espresso Machine|Rooftop Terrace|Bicycle Rental|Co-Working Desk|Plug-and-Play USB Ports|Laundry Service,Courtyard View,1 Queen Bed + 1 Single Bed,"City Break Inn is built for people who actually do things. You're not here to stare at a ceiling — you're here to explore Porto-Novo's vivid markets, photograph its colonial-era architecture, or close a deal from our sun-drenched rooftop terrace before sunset. The rooms are clever and uncluttered, with just enough personality to feel like a place rather than a box. Your morning starts with a proper gourmet breakfast and a coffee pulled from a high-end espresso machine, not a pod — and it ends on the rooftop with a cold drink and the city skyline turning amber. The 24/7 fitness center means your routine doesn't have to travel with excuses, and the co-working desk with fast Wi-Fi means your laptop has a proper home too. Bicycle rentals are available at the front desk, because the best way to understand a new city is always two wheels at a time."
901,Oceanview Retreat,Malibu,2,yes,650,4.9,Private Beach|Infinity Pool|24/7 Butler|Hot Tub|Outdoor Shower|Beach Bonfire Setup|Private Chef on Request|Sunset Yoga Sessions|Surfer Gear Rental|Chilled Beverage Service,Frontal Ocean View,1 King Size Bed,"There are places that look good in photos and places that feel good in person. Oceanview Retreat is one of the rare few that exceeds both. This adults-only coastal sanctuary in Malibu is defined by a single, uncompromising principle: the ocean is the experience, and everything else exists to frame it. Floor-to-ceiling glass walls dissolve the boundary between your suite and the Pacific, so the first thing you see each morning is the horizon — vast, alive, indifferent to everything except the light. The infinity pool appears to pour directly into the sea. Your private butler, available around the clock, can arrange anything from a paddleboard session at dawn to a candlelit dinner on the sand at dusk — no request too small, none too ambitious. The hot tub faces west, because of course it does. This is where you come to remember what quiet actually sounds like."
204,Mountain Whisper Resort,Brasov,4,no,220,4.7,Ski-in/Ski-out Access|Sauna|Wood Fireplace|Traditional Dining|Ski Locker Room|Boot Warmer|Hot Cocoa Bar|Snowshoe Rental|Mountain Guide Service|Heated Outdoor Terrace,Forest & Mountain View,2 Queen Beds,"There is a particular kind of magic that only exists in mountain places — the hush of snowfall through pine trees, the smell of woodsmoke in cold air, the way a warm room feels twice as good after a cold day outside. Mountain Whisper Resort has bottled that magic and built a hotel around it. Tucked into the Carpathian foothills near Brasov, the resort is a true ski-in/ski-out property, meaning the slopes begin where your morning coffee ends. The architecture is intentional: rough-hewn timber, local stone, and a wood-burning fireplace in every room that is lit for you each evening before you return. The sauna is authentic Nordic, the outdoor terrace is heated and faces the tree line, and the dining room serves dishes that have been warming Transylvanian bones for centuries — polenta, slow-braised meats, wild mushroom broths with fresh bread. Our in-house mountain guides know every trail worth knowing. They'll take you to the views that don't appear on any map."
302,The Amber Dune,Marrakech,3,yes,175,4.6,Rooftop Pool|Hammam|Moroccan Breakfast|Air Conditioning|Mosaic Courtyard|Desert Tour Booking|Handwoven Textiles|Sunset Cocktails|Private Riad Garden,Medina & Atlas View,1 King Bed + 1 Twin Bed,"The Amber Dune is a riad that takes the word 'escape' seriously. Tucked inside the ancient walls of the Marrakech Medina, its entrance is easy to miss — a simple wooden door in a narrow lane that gives nothing away. Then it opens, and you step into a world of terracotta, tile, and jasmine. The central courtyard is a symphony of handcrafted mosaic, a gurgling marble fountain, and light that falls differently at every hour of the day. The hammam is traditional, unhurried, and deeply restorative in the way that only steam, black soap, and total silence can be. Every morning, a spread of msemen flatbreads, argan oil, honey, and fresh-squeezed orange juice arrives at your door. Every evening, the rooftop pool reflects the last light as the Atlas Mountains turn violet in the distance. Our team can arrange a dawn camel trek into the desert, a private souk tour, or simply a quiet afternoon doing absolutely nothing. All are equally valid choices here."
417,The Nordic Nest,Reykjavik,2,yes,290,4.8,Northern Lights Alarm|Geothermal Hot Tub|Glacier Excursion Desk|Heated Floors|Organic Breakfast|Wool Blanket Collection|Aurora Photography Guide|Midnight Sun Blackout Blinds|Electric Car Rental,Lava Field & Sky View,1 Super King Bed,"Iceland is a place that humbles you, and The Nordic Nest is where you recover from that humbling with considerable style and warmth. This intimate two-person hideaway sits on the edge of Reykjavik, where the city's energy fades into the volcanic silence of the lava fields. The geothermal hot tub is fed by natural springs and positioned for maximum sky exposure — meaning that when the Northern Lights decide to appear, you will be watching them in the most comfortable way possible. The hotel's signature 'Aurora Alarm' means you will never sleep through them: a gentle notification wakes you the moment the skies turn green. Heated stone floors run throughout, because Iceland understands that cold feet are the enemy of good moods. Breakfast is organic, local, and served without rush. The in-house glaciologist can brief you on conditions before any excursion. Come in winter for the lights; come in summer for the vertigo of sun that never sets."
509,La Dolce Terrazza,Positano,2,yes,380,4.8,Infinity Pool|Private Terrace|Limoncello Welcome Kit|Sea Kayak Rental|Boat Tour Booking|Fresh Pasta Cooking Class|Cliffside Garden|Aperitivo Hour|Daily Linen Change,Amalfi Coast Sea View,1 King Bed,"There is a reason painters have been coming to Positano for centuries — it is simply one of the most beautiful places on earth, and La Dolce Terrazza exists to make sure you don't just pass through it, but actually live inside it for a while. The suite opens onto a private terrace wide enough for a morning espresso, an afternoon novel, and an evening of watching the fishing boats return in the golden hour light. The infinity pool is small, private, and perched above the cliffside garden in a way that makes you feel like you're swimming toward the horizon. Every arrival is greeted with a chilled limoncello kit from the local producer down the hill. Tuesday evenings, our chef hosts an intimate fresh pasta class in the kitchen — hands in the dough, wine on the side, no recipes, just intuition. This is the Amalfi Coast at its most honest: extraordinary beauty, no pretension, and an aperitivo at sunset that will rearrange your priorities."
622,The Garden House,Kyoto,2,yes,195,4.7,Traditional Tatami Rooms|Onsen Bath|Zen Garden|Matcha Ceremony|Kimono Lending|Temple Walk Map|Seasonal Kaiseki Dinner|Shoji Screen Privacy|Bamboo Forest Bicycle Tour,Garden & Pagoda View,Traditional Futon on Tatami,"The Garden House is a ryokan — a traditional Japanese inn — and it asks something of its guests that most hotels do not: presence. When you slide open the shoji screens of your tatami room and look out at the moss garden and stone lanterns beyond, the impulse to reach for your phone quietly dissolves. The onsen bath is fed by mineral-rich thermal water and is surrounded by the sound of bamboo in the breeze. Each morning begins with a meditative matcha ceremony led by a tea master trained in the Urasenke tradition. Evenings center around a kaiseki dinner: seven small, exquisite courses that follow the season with near-religious precision — whatever is best today, prepared with centuries of technique. Kimonos are available in the cedar wardrobe. The front desk keeps a hand-drawn map of every worthwhile temple walk within cycling distance. The bamboo forest tour departs at 6am, before the crowds arrive, when the light is still green and soft and the whole world feels like a painting."
718,Savanna Sun Lodge,Nairobi,6,yes,310,4.6,Game Drive Included|Bush Dinner|Solar Energy|Infinity Pool|Wildlife Guide|Open-Air Sala|Stargazing Deck|Anti-Poaching Charity Partner|Kids Safari Program|Bush Breakfast,Savanna & Wildlife View,3 King Beds,"Savanna Sun Lodge was built on a promise: to give guests an encounter with the African wild that is profound, responsible, and completely unforgettable. Situated on the boundary of a private conservancy near Nairobi, the lodge is not a hotel dressed up in safari aesthetics — it is a working eco-property where conservation and hospitality coexist in genuine balance. The rooms are open-plan and airy, built from reclaimed wood and local stone, with walls that give way to meshed screens so that you fall asleep to the sound of the bush rather than an air conditioner. Twice-daily game drives with expert naturalist guides bring you face to face with the Big Five in their natural terrain. Evenings culminate in a bush dinner set under a canopy of stars so dense they barely look real. Every booking directly funds the lodge's anti-poaching patrol program. The kids' safari program runs every afternoon. This is not a vacation — it's a reckoning with the extraordinary."
825,Casa del Viento,Cartagena,2,yes,160,4.5,Caribbean Rooftop Pool|Street Food Tour|Colonial Architecture Walk|Hammock Suite|Salsa Dance Class|Fresh Ceviche Welcome|Private Courtyard|Handmade Tile Floors|Ceiling Fans & Sea Breeze,Old City Rooftop View,1 King Bed with Hammock Alcove,"Cartagena is a city that makes you feel things — the weight of its history, the heat of its streets, the relentless cheerfulness of its people — and Casa del Viento is where you come back to after feeling all of it. Located inside a restored colonial mansion in the walled city, the building itself is the attraction: thick stone walls that stay cool through the afternoon heat, floors tiled in hand-painted geometric patterns, and a central courtyard where a ceiling fan turns slowly and the bougainvillea doesn't ask for anything from you. The rooftop pool is small and Caribbean-blue and overlooks a labyrinth of orange rooftops that go all the way to the sea. Every guest arrives to a fresh ceviche welcome plate and a cold Águila. Wednesday evenings feature a salsa class in the courtyard — optional, but few people decline twice. The street food tour on Friday morning is, frankly, the best meal you will eat in this city."
